Rep,Day,Temperature,Fungus,Plant,Height,Hairs,Fungus One:,Fungus Two:
A,0,22,Control,1,0.7,0,0,0
A,0,22,Control,2,0.3,0,0,0
A,0,22,Control,3,0.2,0,0,0
A,0,22,Control,4,0.6,0,0,0
A,0,22,Control,5,0.7,0,0,0
A,0,22,Control,1,0.2,0,0,0
A,0,22,Control,2,0.4,0,0,0
A,0,22,Control,3,0.6,0,0,0
A,0,22,Control,4,0.5,0,0,0
A,0,22,Control,5,0.9,0,0,0
A,0,22,8248,1,0.3,0,0.2,0.2
A,0,22,8248,2,0.5,0,0.2,0.2
A,0,22,8248,3,0.6,0,0.2,0.2
A,0,22,8248,4,0.7,0,0.2,0.2
A,0,22,8248,5,0.7,0,0.2,0.2
A,0,22,8248,1,0.7,0,0.2,0.2
A,0,22,8248,2,NA,0,0.2,0.2
A,0,22,8248,3,0.8,0,0.2,0.2
A,0,22,8248,4,0.8,0,0.2,0.2
A,0,22,8248,5,0.8,0,0.2,0.2
A,0,22,1120,1,0.7,0,0.2,0.2
A,0,22,1120,2,0.2,0,0.2,0.2
A,0,22,1120,3,0.7,0,0.2,0.2
A,0,22,1120,4,0.5,0,0.2,0.2
A,0,22,1120,5,0.7,0,0.2,0.2
A,0,22,1120,1,0.7,0,0.2,0.2
A,0,22,1120,2,0.6,0,0.2,0.2
A,0,22,1120,3,0.4,0,0.2,0.2
A,0,22,1120,4,0.4,0,0.2,0.2
A,0,22,1120,5,0.6,0,0.2,0.2
A,0,22,939,1,0.5,0,0.1,0.1
A,0,22,939,2,0.7,0,0.1,0.1
A,0,22,939,3,0.3,0,0.1,0.1
A,0,22,939,4,0.4,0,0.1,0.1
A,0,22,939,5,0.6,0,0.1,0.1
A,0,22,939,1,0.9,0,0.1,0.1
A,0,22,939,2,0.5,0,0.1,0.1
A,0,22,939,3,0.7,0,0.1,0.1
A,0,22,939,4,0.8,0,0.1,0.1
A,0,22,939,5,0.7,0,0.1,0.1
A,0,22,23,1,1.1,0,0,0
A,0,22,23,2,0.6,0,0,0
A,0,22,23,3,0.9,0,0,0
A,0,22,23,4,0.9,0,0,0
A,0,22,23,5,0.8,0,0,0
A,0,22,2575,1,0.6,0,0.3,0.3
